"llid","ag","corn","developed","forage","forest","mixed crop","nonag","other","other ag","other non ag","pasture","soybeans","water","wetlands","wheat"
4985,89,38,5,0,4,NA,11,1,NA,NA,13,37,2,NA,NA
4989,37,13,32,5,11,NA,63,1,NA,NA,14,4,17,2,1
4994,54,17,7,8,22,NA,46,0,4,NA,19,3,17,1,2
5002,62,22,5,8,29,NA,38,2,1,NA,15,15,2,1,NA
5009,36,11,11,6,11,NA,64,NA,5,NA,14,NA,36,6,1
5014,47,20,10,5,26,NA,53,0,6,NA,12,3,13,4,1
5032,91,54,6,0,1,NA,9,1,NA,NA,6,31,1,NA,NA
5035,36,10,14,3,19,NA,64,0,1,NA,14,7,23,7,2
5036,61,32,5,1,10,NA,39,1,6,NA,4,11,20,3,7
5040,53,22,4,0,2,NA,47,0,NA,NA,11,20,38,3,NA
5053,47,12,7,6,46,NA,53,0,NA,NA,23,5,NA,1,NA
5072,67,29,14,4,9,NA,33,1,1,NA,16,15,7,2,2
5094,46,9,10,17,2,NA,54,NA,1,1,13,5,36,5,2
5095,33,9,5,13,52,NA,67,0,3,NA,6,1,1,9,1
5102,85,23,4,1,6,NA,15,0,NA,NA,42,19,5,NA,NA
5106,37,12,35,2,12,NA,63,0,1,NA,16,5,9,7,1
5116,43,17,4,5,49,NA,57,1,2,1,10,9,NA,2,NA
