"90",25563,"wetlands","Woody Wetlands","#BAD8EA","4254"
"95",1242,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4254"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"5146"
"code","n","class","description","color","llid"
"21",9,"developed","Developed, Open Space","#DDC9C9","4332"
"22",7,"developed","Developed, Low Intensity","#D89382","4332"
"41",50,"forest","Deciduous Forest","#68AA63","4332"
"43",22,"forest","Mixed Forest","#B5C98E","4332"
"81",31,"planted","Pasture/Hay","#DBD83D","4332"
"90",84,"wetlands","Woody Wetlands","#BAD8EA","4332"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4283"
"code","n","class","description","color","llid"
"0",38525963,NA,NA,NA,"2717"
"21",47604,"developed","Developed, Open Space","#DDC9C9","2717"
"22",17798,"developed","Developed, Low Intensity","#D89382","2717"
"23",4023,"developed","Developed, Medium Intensity","#ED0000","2717"
"24",1223,"developed","Developed, High Intensity","#AA0000","2717"
"31",222,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2717"
"41",258967,"forest","Deciduous Forest","#68AA63","2717"
"42",15324,"forest","Evergreen Forest","#1C6330","2717"
"43",30699,"forest","Mixed Forest","#B5C98E","2717"
"52",2824,"shrubland","Scrub/Shrub","#CCBA7C","2717"
"71",4235,"herbaceous","Grassland/Herbaceous","#E2E2C1","2717"
"81",82184,"planted","Pasture/Hay","#DBD83D","2717"
"82",414282,"planted","Cultivated Crops","#AA7028","2717"
"90",425886,"wetlands","Woody Wetlands","#BAD8EA","2717"
"95",190513,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2717"
"code","n","class","description","color","llid"
"21",174,"developed","Developed, Open Space","#DDC9C9","4355"
"22",99,"developed","Developed, Low Intensity","#D89382","4355"
"23",9,"developed","Developed, Medium Intensity","#ED0000","4355"
"24",1,"developed","Developed, High Intensity","#AA0000","4355"
"41",229,"forest","Deciduous Forest","#68AA63","4355"
"43",14,"forest","Mixed Forest","#B5C98E","4355"
"52",126,"shrubland","Scrub/Shrub","#CCBA7C","4355"
"71",26,"herbaceous","Grassland/Herbaceous","#E2E2C1","4355"
"81",1422,"planted","Pasture/Hay","#DBD83D","4355"
"82",4268,"planted","Cultivated Crops","#AA7028","4355"
"90",783,"wetlands","Woody Wetlands","#BAD8EA","4355"
"95",44,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4355"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"5488"
"code","n","class","description","color","llid"
"21",5232,"developed","Developed, Open Space","#DDC9C9","4790"
"22",2313,"developed","Developed, Low Intensity","#D89382","4790"
"23",556,"developed","Developed, Medium Intensity","#ED0000","4790"
"24",200,"developed","Developed, High Intensity","#AA0000","4790"
"31",47,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","4790"
"41",30834,"forest","Deciduous Forest","#68AA63","4790"
"42",599,"forest","Evergreen Forest","#1C6330","4790"
"43",1620,"forest","Mixed Forest","#B5C98E","4790"
"52",111,"shrubland","Scrub/Shrub","#CCBA7C","4790"
"71",167,"herbaceous","Grassland/Herbaceous","#E2E2C1","4790"
"81",8542,"planted","Pasture/Hay","#DBD83D","4790"
"82",75173,"planted","Cultivated Crops","#AA7028","4790"
"90",20415,"wetlands","Woody Wetlands","#BAD8EA","4790"
"95",46862,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4790"
"code","n","class","description","color","llid"
"21",38,"developed","Developed, Open Space","#DDC9C9","4539"
"22",5,"developed","Developed, Low Intensity","#D89382","4539"
"41",105,"forest","Deciduous Forest","#68AA63","4539"
"42",7,"forest","Evergreen Forest","#1C6330","4539"
"43",13,"forest","Mixed Forest","#B5C98E","4539"
"71",4,"herbaceous","Grassland/Herbaceous","#E2E2C1","4539"
"81",421,"planted","Pasture/Hay","#DBD83D","4539"
"82",845,"planted","Cultivated Crops","#AA7028","4539"
"90",204,"wetlands","Woody Wetlands","#BAD8EA","4539"
"95",52,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4539"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4386"
"code","n","class","description","color","llid"
"21",2856,"developed","Developed, Open Space","#DDC9C9","5204"
"22",1190,"developed","Developed, Low Intensity","#D89382","5204"
"23",297,"developed","Developed, Medium Intensity","#ED0000","5204"
"24",80,"developed","Developed, High Intensity","#AA0000","5204"
"31",10,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","5204"
"41",15087,"forest","Deciduous Forest","#68AA63","5204"
"42",251,"forest","Evergreen Forest","#1C6330","5204"
"43",682,"forest","Mixed Forest","#B5C98E","5204"
"52",19,"shrubland","Scrub/Shrub","#CCBA7C","5204"
"71",51,"herbaceous","Grassland/Herbaceous","#E2E2C1","5204"
"81",3886,"planted","Pasture/Hay","#DBD83D","5204"
"82",38063,"planted","Cultivated Crops","#AA7028","5204"
"90",8130,"wetlands","Woody Wetlands","#BAD8EA","5204"
"95",26037,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5204"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4477"
"code","n","class","description","color","llid"
"21",77,"developed","Developed, Open Space","#DDC9C9","1889"
"22",50,"developed","Developed, Low Intensity","#D89382","1889"
"23",1,"developed","Developed, Medium Intensity","#ED0000","1889"
"41",270,"forest","Deciduous Forest","#68AA63","1889"
"43",7,"forest","Mixed Forest","#B5C98E","1889"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","1889"
"81",360,"planted","Pasture/Hay","#DBD83D","1889"
"82",1733,"planted","Cultivated Crops","#AA7028","1889"
"90",292,"wetlands","Woody Wetlands","#BAD8EA","1889"
"95",31,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1889"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"1078"
"code","n","class","description","color","llid"
"21",18,"developed","Developed, Open Space","#DDC9C9","510"
"22",11,"developed","Developed, Low Intensity","#D89382","510"
"41",199,"forest","Deciduous Forest","#68AA63","510"
"52",5,"shrubland","Scrub/Shrub","#CCBA7C","510"
"81",54,"planted","Pasture/Hay","#DBD83D","510"
"82",161,"planted","Cultivated Crops","#AA7028","510"
"90",117,"wetlands","Woody Wetlands","#BAD8EA","510"
"code","n","class","description","color","llid"
"21",747,"developed","Developed, Open Space","#DDC9C9","5426"
"22",635,"developed","Developed, Low Intensity","#D89382","5426"
"23",269,"developed","Developed, Medium Intensity","#ED0000","5426"
"24",63,"developed","Developed, High Intensity","#AA0000","5426"
"41",2056,"forest","Deciduous Forest","#68AA63","5426"
