"code","n","class","description","color","llid"
"52",17,"shrubland","Scrub/Shrub","#CCBA7C","5188"
"81",17,"planted","Pasture/Hay","#DBD83D","5188"
"82",18,"planted","Cultivated Crops","#AA7028","5188"
"90",58,"wetlands","Woody Wetlands","#BAD8EA","5188"
"code","n","class","description","color","llid"
"21",52,"developed","Developed, Open Space","#DDC9C9","1190"
"22",42,"developed","Developed, Low Intensity","#D89382","1190"
"23",4,"developed","Developed, Medium Intensity","#ED0000","1190"
"41",86,"forest","Deciduous Forest","#68AA63","1190"
"52",8,"shrubland","Scrub/Shrub","#CCBA7C","1190"
"81",89,"planted","Pasture/Hay","#DBD83D","1190"
"82",63,"planted","Cultivated Crops","#AA7028","1190"
"90",104,"wetlands","Woody Wetlands","#BAD8EA","1190"
"95",9,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1190"
"code","n","class","description","color","llid"
"21",11,"developed","Developed, Open Space","#DDC9C9","5501"
"22",1,"developed","Developed, Low Intensity","#D89382","5501"
"41",3,"forest","Deciduous Forest","#68AA63","5501"
"71",39,"herbaceous","Grassland/Herbaceous","#E2E2C1","5501"
"81",22,"planted","Pasture/Hay","#DBD83D","5501"
"82",2,"planted","Cultivated Crops","#AA7028","5501"
"90",193,"wetlands","Woody Wetlands","#BAD8EA","5501"
"code","n","class","description","color","llid"
"21",175,"developed","Developed, Open Space","#DDC9C9","4254"
"22",225,"developed","Developed, Low Intensity","#D89382","4254"
"23",43,"developed","Developed, Medium Intensity","#ED0000","4254"
"24",25,"developed","Developed, High Intensity","#AA0000","4254"
"41",55,"forest","Deciduous Forest","#68AA63","4254"
"71",19,"herbaceous","Grassland/Herbaceous","#E2E2C1","4254"
"81",51,"planted","Pasture/Hay","#DBD83D","4254"
"82",103,"planted","Cultivated Crops","#AA7028","4254"
"90",125,"wetlands","Woody Wetlands","#BAD8EA","4254"
"95",51,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4254"
"code","n","class","description","color","llid"
"21",74,"developed","Developed, Open Space","#DDC9C9","5146"
"22",30,"developed","Developed, Low Intensity","#D89382","5146"
"23",2,"developed","Developed, Medium Intensity","#ED0000","5146"
"41",8,"forest","Deciduous Forest","#68AA63","5146"
"42",7,"forest","Evergreen Forest","#1C6330","5146"
"82",23,"planted","Cultivated Crops","#AA7028","5146"
"90",32,"wetlands","Woody Wetlands","#BAD8EA","5146"
"code","n","class","description","color","llid"
"21",6,"developed","Developed, Open Space","#DDC9C9","4332"
"22",3,"developed","Developed, Low Intensity","#D89382","4332"
"23",1,"developed","Developed, Medium Intensity","#ED0000","4332"
"41",5,"forest","Deciduous Forest","#68AA63","4332"
"43",7,"forest","Mixed Forest","#B5C98E","4332"
"81",90,"planted","Pasture/Hay","#DBD83D","4332"
"82",15,"planted","Cultivated Crops","#AA7028","4332"
"90",57,"wetlands","Woody Wetlands","#BAD8EA","4332"
"code","n","class","description","color","llid"
"21",57,"developed","Developed, Open Space","#DDC9C9","4283"
"22",17,"developed","Developed, Low Intensity","#D89382","4283"
"41",18,"forest","Deciduous Forest","#68AA63","4283"
"42",6,"forest","Evergreen Forest","#1C6330","4283"
"43",14,"forest","Mixed Forest","#B5C98E","4283"
"81",68,"planted","Pasture/Hay","#DBD83D","4283"
"82",36,"planted","Cultivated Crops","#AA7028","4283"
"90",14,"wetlands","Woody Wetlands","#BAD8EA","4283"
"code","n","class","description","color","llid"
"0",40148365,NA,NA,NA,"2717"
"21",511,"developed","Developed, Open Space","#DDC9C9","2717"
"22",567,"developed","Developed, Low Intensity","#D89382","2717"
"23",129,"developed","Developed, Medium Intensity","#ED0000","2717"
"24",31,"developed","Developed, High Intensity","#AA0000","2717"
"41",123,"forest","Deciduous Forest","#68AA63","2717"
"42",5,"forest","Evergreen Forest","#1C6330","2717"
"43",26,"forest","Mixed Forest","#B5C98E","2717"
"71",13,"herbaceous","Grassland/Herbaceous","#E2E2C1","2717"
"81",258,"planted","Pasture/Hay","#DBD83D","2717"
"82",367,"planted","Cultivated Crops","#AA7028","2717"
"90",744,"wetlands","Woody Wetlands","#BAD8EA","2717"
"95",1572,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2717"
"code","n","class","description","color","llid"
"21",28,"developed","Developed, Open Space","#DDC9C9","4355"
"22",54,"developed","Developed, Low Intensity","#D89382","4355"
"23",18,"developed","Developed, Medium Intensity","#ED0000","4355"
"24",2,"developed","Developed, High Intensity","#AA0000","4355"
"41",5,"forest","Deciduous Forest","#68AA63","4355"
"52",10,"shrubland","Scrub/Shrub","#CCBA7C","4355"
"81",112,"planted","Pasture/Hay","#DBD83D","4355"
"90",190,"wetlands","Woody Wetlands","#BAD8EA","4355"
"95",2,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4355"
"code","n","class","description","color","llid"
"21",43,"developed","Developed, Open Space","#DDC9C9","5488"
"22",10,"developed","Developed, Low Intensity","#D89382","5488"
"41",58,"forest","Deciduous Forest","#68AA63","5488"
"43",23,"forest","Mixed Forest","#B5C98E","5488"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","5488"
"81",26,"planted","Pasture/Hay","#DBD83D","5488"
"82",45,"planted","Cultivated Crops","#AA7028","5488"
"90",50,"wetlands","Woody Wetlands","#BAD8EA","5488"
"95",10,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5488"
"code","n","class","description","color","llid"
"21",109,"developed","Developed, Open Space","#DDC9C9","4790"
"22",152,"developed","Developed, Low Intensity","#D89382","4790"
"23",8,"developed","Developed, Medium Intensity","#ED0000","4790"
"41",155,"forest","Deciduous Forest","#68AA63","4790"
"42",23,"forest","Evergreen Forest","#1C6330","4790"
"43",94,"forest","Mixed Forest","#B5C98E","4790"
"81",142,"planted","Pasture/Hay","#DBD83D","4790"
"82",294,"planted","Cultivated Crops","#AA7028","4790"
"90",348,"wetlands","Woody Wetlands","#BAD8EA","4790"
"95",1708,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4790"
"code","n","class","description","color","llid"
"22",2,"developed","Developed, Low Intensity","#D89382","4539"
"23",1,"developed","Developed, Medium Intensity","#ED0000","4539"
"41",7,"forest","Deciduous Forest","#68AA63","4539"
"81",6,"planted","Pasture/Hay","#DBD83D","4539"
"82",266,"planted","Cultivated Crops","#AA7028","4539"
"90",91,"wetlands","Woody Wetlands","#BAD8EA","4539"
"95",172,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4539"
"code","n","class","description","color","llid"
"21",64,"developed","Developed, Open Space","#DDC9C9","4386"
"22",18,"developed","Developed, Low Intensity","#D89382","4386"
"23",2,"developed","Developed, Medium Intensity","#ED0000","4386"
"41",104,"forest","Deciduous Forest","#68AA63","4386"
"42",3,"forest","Evergreen Forest","#1C6330","4386"
"43",20,"forest","Mixed Forest","#B5C98E","4386"
"82",26,"planted","Cultivated Crops","#AA7028","4386"
"90",82,"wetlands","Woody Wetlands","#BAD8EA","4386"
"code","n","class","description","color","llid"
"21",455,"developed","Developed, Open Space","#DDC9C9","5204"
"22",270,"developed","Developed, Low Intensity","#D89382","5204"
"23",27,"developed","Developed, Medium Intensity","#ED0000","5204"
"24",2,"developed","Developed, High Intensity","#AA0000","5204"
"41",851,"forest","Deciduous Forest","#68AA63","5204"
"42",18,"forest","Evergreen Forest","#1C6330","5204"
"43",134,"forest","Mixed Forest","#B5C98E","5204"
"52",11,"shrubland","Scrub/Shrub","#CCBA7C","5204"
"71",7,"herbaceous","Grassland/Herbaceous","#E2E2C1","5204"
"81",58,"planted","Pasture/Hay","#DBD83D","5204"
"82",421,"planted","Cultivated Crops","#AA7028","5204"
"90",433,"wetlands","Woody Wetlands","#BAD8EA","5204"
