"code","n","class","description","color","llid"
"21",32,"developed","Developed, Open Space","#DDC9C9","698"
"22",27,"developed","Developed, Low Intensity","#D89382","698"
"23",3,"developed","Developed, Medium Intensity","#ED0000","698"
"41",8,"forest","Deciduous Forest","#68AA63","698"
"52",5,"shrubland","Scrub/Shrub","#CCBA7C","698"
"81",30,"planted","Pasture/Hay","#DBD83D","698"
"82",107,"planted","Cultivated Crops","#AA7028","698"
"code","n","class","description","color","llid"
"21",202,"developed","Developed, Open Space","#DDC9C9","4818"
"22",46,"developed","Developed, Low Intensity","#D89382","4818"
"23",7,"developed","Developed, Medium Intensity","#ED0000","4818"
"41",35,"forest","Deciduous Forest","#68AA63","4818"
"43",16,"forest","Mixed Forest","#B5C98E","4818"
"81",8,"planted","Pasture/Hay","#DBD83D","4818"
"90",729,"wetlands","Woody Wetlands","#BAD8EA","4818"
"code","n","class","description","color","llid"
"21",119,"developed","Developed, Open Space","#DDC9C9","4644"
"22",102,"developed","Developed, Low Intensity","#D89382","4644"
"23",11,"developed","Developed, Medium Intensity","#ED0000","4644"
"24",1,"developed","Developed, High Intensity","#AA0000","4644"
"41",324,"forest","Deciduous Forest","#68AA63","4644"
"43",36,"forest","Mixed Forest","#B5C98E","4644"
"81",76,"planted","Pasture/Hay","#DBD83D","4644"
"82",72,"planted","Cultivated Crops","#AA7028","4644"
"90",69,"wetlands","Woody Wetlands","#BAD8EA","4644"
"95",175,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4644"
"code","n","class","description","color","llid"
"21",55,"developed","Developed, Open Space","#DDC9C9","858"
"22",75,"developed","Developed, Low Intensity","#D89382","858"
"23",6,"developed","Developed, Medium Intensity","#ED0000","858"
"41",58,"forest","Deciduous Forest","#68AA63","858"
"43",14,"forest","Mixed Forest","#B5C98E","858"
"81",30,"planted","Pasture/Hay","#DBD83D","858"
"82",79,"planted","Cultivated Crops","#AA7028","858"
"90",73,"wetlands","Woody Wetlands","#BAD8EA","858"
"95",59,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","858"
"code","n","class","description","color","llid"
"21",39,"developed","Developed, Open Space","#DDC9C9","5424"
"22",5,"developed","Developed, Low Intensity","#D89382","5424"
"41",58,"forest","Deciduous Forest","#68AA63","5424"
"42",30,"forest","Evergreen Forest","#1C6330","5424"
"81",12,"planted","Pasture/Hay","#DBD83D","5424"
"82",73,"planted","Cultivated Crops","#AA7028","5424"
"90",45,"wetlands","Woody Wetlands","#BAD8EA","5424"
"code","n","class","description","color","llid"
"21",26,"developed","Developed, Open Space","#DDC9C9","5450"
"22",5,"developed","Developed, Low Intensity","#D89382","5450"
"41",7,"forest","Deciduous Forest","#68AA63","5450"
"81",35,"planted","Pasture/Hay","#DBD83D","5450"
"82",57,"planted","Cultivated Crops","#AA7028","5450"
"90",104,"wetlands","Woody Wetlands","#BAD8EA","5450"
"95",12,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5450"
"code","n","class","description","color","llid"
"21",55,"developed","Developed, Open Space","#DDC9C9","5036"
"22",111,"developed","Developed, Low Intensity","#D89382","5036"
"23",8,"developed","Developed, Medium Intensity","#ED0000","5036"
"41",96,"forest","Deciduous Forest","#68AA63","5036"
"52",17,"shrubland","Scrub/Shrub","#CCBA7C","5036"
"81",113,"planted","Pasture/Hay","#DBD83D","5036"
"82",82,"planted","Cultivated Crops","#AA7028","5036"
"90",168,"wetlands","Woody Wetlands","#BAD8EA","5036"
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5036"
"code","n","class","description","color","llid"
"21",32,"developed","Developed, Open Space","#DDC9C9","4911"
"22",6,"developed","Developed, Low Intensity","#D89382","4911"
"41",69,"forest","Deciduous Forest","#68AA63","4911"
"43",6,"forest","Mixed Forest","#B5C98E","4911"
"82",13,"planted","Cultivated Crops","#AA7028","4911"
"90",25,"wetlands","Woody Wetlands","#BAD8EA","4911"
"code","n","class","description","color","llid"
"21",250,"developed","Developed, Open Space","#DDC9C9","4836"
"22",177,"developed","Developed, Low Intensity","#D89382","4836"
"23",18,"developed","Developed, Medium Intensity","#ED0000","4836"
"24",1,"developed","Developed, High Intensity","#AA0000","4836"
"41",86,"forest","Deciduous Forest","#68AA63","4836"
"71",23,"herbaceous","Grassland/Herbaceous","#E2E2C1","4836"
"81",34,"planted","Pasture/Hay","#DBD83D","4836"
"82",17,"planted","Cultivated Crops","#AA7028","4836"
"90",511,"wetlands","Woody Wetlands","#BAD8EA","4836"
"95",156,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4836"
"code","n","class","description","color","llid"
"21",39,"developed","Developed, Open Space","#DDC9C9","5232"
"22",57,"developed","Developed, Low Intensity","#D89382","5232"
"23",10,"developed","Developed, Medium Intensity","#ED0000","5232"
"41",48,"forest","Deciduous Forest","#68AA63","5232"
"43",2,"forest","Mixed Forest","#B5C98E","5232"
"81",55,"planted","Pasture/Hay","#DBD83D","5232"
"82",28,"planted","Cultivated Crops","#AA7028","5232"
"90",16,"wetlands","Woody Wetlands","#BAD8EA","5232"
"95",4,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5232"
"code","n","class","description","color","llid"
"21",213,"developed","Developed, Open Space","#DDC9C9","4378"
"22",326,"developed","Developed, Low Intensity","#D89382","4378"
"23",24,"developed","Developed, Medium Intensity","#ED0000","4378"
"41",148,"forest","Deciduous Forest","#68AA63","4378"
"52",7,"shrubland","Scrub/Shrub","#CCBA7C","4378"
"71",27,"herbaceous","Grassland/Herbaceous","#E2E2C1","4378"
"81",80,"planted","Pasture/Hay","#DBD83D","4378"
"82",41,"planted","Cultivated Crops","#AA7028","4378"
"90",686,"wetlands","Woody Wetlands","#BAD8EA","4378"
"95",60,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4378"
"code","n","class","description","color","llid"
"21",48,"developed","Developed, Open Space","#DDC9C9","4416"
"22",28,"developed","Developed, Low Intensity","#D89382","4416"
"23",1,"developed","Developed, Medium Intensity","#ED0000","4416"
"41",27,"forest","Deciduous Forest","#68AA63","4416"
"42",7,"forest","Evergreen Forest","#1C6330","4416"
"43",10,"forest","Mixed Forest","#B5C98E","4416"
"52",3,"shrubland","Scrub/Shrub","#CCBA7C","4416"
"82",59,"planted","Cultivated Crops","#AA7028","4416"
"90",144,"wetlands","Woody Wetlands","#BAD8EA","4416"
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4416"
"code","n","class","description","color","llid"
"21",86,"developed","Developed, Open Space","#DDC9C9","5247"
"22",198,"developed","Developed, Low Intensity","#D89382","5247"
"23",51,"developed","Developed, Medium Intensity","#ED0000","5247"
"24",4,"developed","Developed, High Intensity","#AA0000","5247"
"41",28,"forest","Deciduous Forest","#68AA63","5247"
"52",16,"shrubland","Scrub/Shrub","#CCBA7C","5247"
"81",24,"planted","Pasture/Hay","#DBD83D","5247"
"82",38,"planted","Cultivated Crops","#AA7028","5247"
"90",128,"wetlands","Woody Wetlands","#BAD8EA","5247"
"95",3,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5247"
"code","n","class","description","color","llid"
"21",101,"developed","Developed, Open Space","#DDC9C9","1028"
"22",127,"developed","Developed, Low Intensity","#D89382","1028"
"23",14,"developed","Developed, Medium Intensity","#ED0000","1028"
"31",5,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","1028"
"41",203,"forest","Deciduous Forest","#68AA63","1028"
"43",28,"forest","Mixed Forest","#B5C98E","1028"
"52",2,"shrubland","Scrub/Shrub","#CCBA7C","1028"
"71",1,"herbaceous","Grassland/Herbaceous","#E2E2C1","1028"
"81",49,"planted","Pasture/Hay","#DBD83D","1028"
"82",28,"planted","Cultivated Crops","#AA7028","1028"
"90",118,"wetlands","Woody Wetlands","#BAD8EA","1028"
"95",12,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1028"
"code","n","class","description","color","llid"
"21",90,"developed","Developed, Open Space","#DDC9C9","6465"
"22",56,"developed","Developed, Low Intensity","#D89382","6465"
"23",10,"developed","Developed, Medium Intensity","#ED0000","6465"
"41",439,"forest","Deciduous Forest","#68AA63","6465"
"81",124,"planted","Pasture/Hay","#DBD83D","6465"
"82",118,"planted","Cultivated Crops","#AA7028","6465"
"90",7,"wetlands","Woody Wetlands","#BAD8EA","6465"
"code","n","class","description","color","llid"
"21",120,"developed","Developed, Open Space","#DDC9C9","1665"
"22",195,"developed","Developed, Low Intensity","#D89382","1665"
"23",40,"developed","Developed, Medium Intensity","#ED0000","1665"
"41",103,"forest","Deciduous Forest","#68AA63","1665"
"42",18,"forest","Evergreen Forest","#1C6330","1665"
"81",11,"planted","Pasture/Hay","#DBD83D","1665"
"82",32,"planted","Cultivated Crops","#AA7028","1665"
"90",146,"wetlands","Woody Wetlands","#BAD8EA","1665"
"95",29,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1665"
"code","n","class","description","color","llid"
"21",156,"developed","Developed, Open Space","#DDC9C9","2510"
"22",242,"developed","Developed, Low Intensity","#D89382","2510"
"23",93,"developed","Developed, Medium Intensity","#ED0000","2510"
"24",26,"developed","Developed, High Intensity","#AA0000","2510"
"31",1,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2510"
"41",37,"forest","Deciduous Forest","#68AA63","2510"
"90",42,"wetlands","Woody Wetlands","#BAD8EA","2510"
"95",47,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2510"
"code","n","class","description","color","llid"
"21",60,"developed","Developed, Open Space","#DDC9C9","2456"
"22",87,"developed","Developed, Low Intensity","#D89382","2456"
"23",16,"developed","Developed, Medium Intensity","#ED0000","2456"
"31",7,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2456"
"41",31,"forest","Deciduous Forest","#68AA63","2456"
"43",6,"forest","Mixed Forest","#B5C98E","2456"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","2456"
"81",22,"planted","Pasture/Hay","#DBD83D","2456"
"82",8,"planted","Cultivated Crops","#AA7028","2456"
"90",23,"wetlands","Woody Wetlands","#BAD8EA","2456"
"95",5,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2456"
"code","n","class","description","color","llid"
"21",50,"developed","Developed, Open Space","#DDC9C9","101893"
"22",102,"developed","Developed, Low Intensity","#D89382","101893"
"23",6,"developed","Developed, Medium Intensity","#ED0000","101893"
"41",8,"forest","Deciduous Forest","#68AA63","101893"
"42",31,"forest","Evergreen Forest","#1C6330","101893"
"43",1,"forest","Mixed Forest","#B5C98E","101893"
"52",2,"shrubland","Scrub/Shrub","#CCBA7C","101893"
"71",2,"herbaceous","Grassland/Herbaceous","#E2E2C1","101893"
"81",16,"planted","Pasture/Hay","#DBD83D","101893"
"82",10,"planted","Cultivated Crops","#AA7028","101893"
"90",71,"wetlands","Woody Wetlands","#BAD8EA","101893"
"code","n","class","description","color","llid"
"21",14,"developed","Developed, Open Space","#DDC9C9","2484"
"22",10,"developed","Developed, Low Intensity","#D89382","2484"
"41",76,"forest","Deciduous Forest","#68AA63","2484"
"43",8,"forest","Mixed Forest","#B5C98E","2484"
"81",59,"planted","Pasture/Hay","#DBD83D","2484"
"82",81,"planted","Cultivated Crops","#AA7028","2484"
"90",69,"wetlands","Woody Wetlands","#BAD8EA","2484"
"95",19,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2484"
"code","n","class","description","color","llid"
"21",231,"developed","Developed, Open Space","#DDC9C9","1038"
"22",313,"developed","Developed, Low Intensity","#D89382","1038"
"23",67,"developed","Developed, Medium Intensity","#ED0000","1038"
"24",1,"developed","Developed, High Intensity","#AA0000","1038"
"31",11,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","1038"
"41",74,"forest","Deciduous Forest","#68AA63","1038"
"42",10,"forest","Evergreen Forest","#1C6330","1038"
"43",19,"forest","Mixed Forest","#B5C98E","1038"
"71",18,"herbaceous","Grassland/Herbaceous","#E2E2C1","1038"
"81",75,"planted","Pasture/Hay","#DBD83D","1038"
"82",95,"planted","Cultivated Crops","#AA7028","1038"
"90",413,"wetlands","Woody Wetlands","#BAD8EA","1038"
"95",104,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1038"
"code","n","class","description","color","llid"
"21",28,"developed","Developed, Open Space","#DDC9C9","79164"
"22",82,"developed","Developed, Low Intensity","#D89382","79164"
"23",7,"developed","Developed, Medium Intensity","#ED0000","79164"
"41",50,"forest","Deciduous Forest","#68AA63","79164"
"42",10,"forest","Evergreen Forest","#1C6330","79164"
"43",11,"forest","Mixed Forest","#B5C98E","79164"
"52",5,"shrubland","Scrub/Shrub","#CCBA7C","79164"
"71",2,"herbaceous","Grassland/Herbaceous","#E2E2C1","79164"
"81",3,"planted","Pasture/Hay","#DBD83D","79164"
"82",51,"planted","Cultivated Crops","#AA7028","79164"
"90",146,"wetlands","Woody Wetlands","#BAD8EA","79164"
"95",19,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","79164"
"code","n","class","description","color","llid"
"21",153,"developed","Developed, Open Space","#DDC9C9","481"
"22",83,"developed","Developed, Low Intensity","#D89382","481"
"23",7,"developed","Developed, Medium Intensity","#ED0000","481"
"24",1,"developed","Developed, High Intensity","#AA0000","481"
"31",5,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","481"
"41",475,"forest","Deciduous Forest","#68AA63","481"
"71",30,"herbaceous","Grassland/Herbaceous","#E2E2C1","481"
"81",112,"planted","Pasture/Hay","#DBD83D","481"
"82",51,"planted","Cultivated Crops","#AA7028","481"
"90",193,"wetlands","Woody Wetlands","#BAD8EA","481"
"95",37,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","481"
"code","n","class","description","color","llid"
"21",126,"developed","Developed, Open Space","#DDC9C9","53306"
"22",164,"developed","Developed, Low Intensity","#D89382","53306"
"23",33,"developed","Developed, Medium Intensity","#ED0000","53306"
"24",3,"developed","Developed, High Intensity","#AA0000","53306"
"31",4,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","53306"
"41",103,"forest","Deciduous Forest","#68AA63","53306"
"42",51,"forest","Evergreen Forest","#1C6330","53306"
"43",25,"forest","Mixed Forest","#B5C98E","53306"
"71",2,"herbaceous","Grassland/Herbaceous","#E2E2C1","53306"
"81",7,"planted","Pasture/Hay","#DBD83D","53306"
"82",26,"planted","Cultivated Crops","#AA7028","53306"
"90",43,"wetlands","Woody Wetlands","#BAD8EA","53306"
"95",16,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","53306"
"code","n","class","description","color","llid"
"21",504,"developed","Developed, Open Space","#DDC9C9","7034"
"22",218,"developed","Developed, Low Intensity","#D89382","7034"
"23",36,"developed","Developed, Medium Intensity","#ED0000","7034"
"24",1,"developed","Developed, High Intensity","#AA0000","7034"
"41",945,"forest","Deciduous Forest","#68AA63","7034"
"71",68,"herbaceous","Grassland/Herbaceous","#E2E2C1","7034"
"81",332,"planted","Pasture/Hay","#DBD83D","7034"
"82",582,"planted","Cultivated Crops","#AA7028","7034"
"code","n","class","description","color","llid"
"21",71,"developed","Developed, Open Space","#DDC9C9","34352"
"22",3,"developed","Developed, Low Intensity","#D89382","34352"
"41",53,"forest","Deciduous Forest","#68AA63","34352"
"42",34,"forest","Evergreen Forest","#1C6330","34352"
"43",9,"forest","Mixed Forest","#B5C98E","34352"
"81",6,"planted","Pasture/Hay","#DBD83D","34352"
"90",26,"wetlands","Woody Wetlands","#BAD8EA","34352"
"code","n","class","description","color","llid"
"21",83,"developed","Developed, Open Space","#DDC9C9","34377"
"22",25,"developed","Developed, Low Intensity","#D89382","34377"
"23",2,"developed","Developed, Medium Intensity","#ED0000","34377"
"41",37,"forest","Deciduous Forest","#68AA63","34377"
"82",17,"planted","Cultivated Crops","#AA7028","34377"
"90",77,"wetlands","Woody Wetlands","#BAD8EA","34377"
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","34377"
"code","n","class","description","color","llid"
"21",34,"developed","Developed, Open Space","#DDC9C9","40741"
"22",46,"developed","Developed, Low Intensity","#D89382","40741"
"23",5,"developed","Developed, Medium Intensity","#ED0000","40741"
"41",102,"forest","Deciduous Forest","#68AA63","40741"
"42",7,"forest","Evergreen Forest","#1C6330","40741"
"43",23,"forest","Mixed Forest","#B5C98E","40741"
"71",19,"herbaceous","Grassland/Herbaceous","#E2E2C1","40741"
"90",102,"wetlands","Woody Wetlands","#BAD8EA","40741"
"95",24,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","40741"
"code","n","class","description","color","llid"
"21",35,"developed","Developed, Open Space","#DDC9C9","4070"
"22",89,"developed","Developed, Low Intensity","#D89382","4070"
"23",2,"developed","Developed, Medium Intensity","#ED0000","4070"
"41",14,"forest","Deciduous Forest","#68AA63","4070"
"42",16,"forest","Evergreen Forest","#1C6330","4070"
"43",11,"forest","Mixed Forest","#B5C98E","4070"
"71",23,"herbaceous","Grassland/Herbaceous","#E2E2C1","4070"
"81",23,"planted","Pasture/Hay","#DBD83D","4070"
"82",72,"planted","Cultivated Crops","#AA7028","4070"
"90",62,"wetlands","Woody Wetlands","#BAD8EA","4070"
"code","n","class","description","color","llid"
"21",57,"developed","Developed, Open Space","#DDC9C9","2272"
"22",124,"developed","Developed, Low Intensity","#D89382","2272"
"23",13,"developed","Developed, Medium Intensity","#ED0000","2272"
"41",64,"forest","Deciduous Forest","#68AA63","2272"
"42",5,"forest","Evergreen Forest","#1C6330","2272"
"43",13,"forest","Mixed Forest","#B5C98E","2272"
"81",164,"planted","Pasture/Hay","#DBD83D","2272"
"82",35,"planted","Cultivated Crops","#AA7028","2272"
"90",180,"wetlands","Woody Wetlands","#BAD8EA","2272"
"95",22,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2272"
"code","n","class","description","color","llid"
"21",193,"developed","Developed, Open Space","#DDC9C9","4033"
"22",144,"developed","Developed, Low Intensity","#D89382","4033"
"23",6,"developed","Developed, Medium Intensity","#ED0000","4033"
"41",110,"forest","Deciduous Forest","#68AA63","4033"
"42",14,"forest","Evergreen Forest","#1C6330","4033"
"43",23,"forest","Mixed Forest","#B5C98E","4033"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","4033"
"71",7,"herbaceous","Grassland/Herbaceous","#E2E2C1","4033"
"81",57,"planted","Pasture/Hay","#DBD83D","4033"
"82",65,"planted","Cultivated Crops","#AA7028","4033"
"90",228,"wetlands","Woody Wetlands","#BAD8EA","4033"
"95",50,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4033"
"code","n","class","description","color","llid"
"21",96,"developed","Developed, Open Space","#DDC9C9","140108"
"22",47,"developed","Developed, Low Intensity","#D89382","140108"
"23",5,"developed","Developed, Medium Intensity","#ED0000","140108"
"24",1,"developed","Developed, High Intensity","#AA0000","140108"
"41",36,"forest","Deciduous Forest","#68AA63","140108"
"81",16,"planted","Pasture/Hay","#DBD83D","140108"
"82",33,"planted","Cultivated Crops","#AA7028","140108"
"90",23,"wetlands","Woody Wetlands","#BAD8EA","140108"
"code","n","class","description","color","llid"
"21",234,"developed","Developed, Open Space","#DDC9C9","138077"
"22",227,"developed","Developed, Low Intensity","#D89382","138077"
"23",17,"developed","Developed, Medium Intensity","#ED0000","138077"
"24",3,"developed","Developed, High Intensity","#AA0000","138077"
"31",1,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","138077"
"41",234,"forest","Deciduous Forest","#68AA63","138077"
"42",71,"forest","Evergreen Forest","#1C6330","138077"
"43",11,"forest","Mixed Forest","#B5C98E","138077"
"71",16,"herbaceous","Grassland/Herbaceous","#E2E2C1","138077"
"81",66,"planted","Pasture/Hay","#DBD83D","138077"
"90",210,"wetlands","Woody Wetlands","#BAD8EA","138077"
"95",90,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","138077"
"code","n","class","description","color","llid"
"21",223,"developed","Developed, Open Space","#DDC9C9","2678"
"22",225,"developed","Developed, Low Intensity","#D89382","2678"
"23",16,"developed","Developed, Medium Intensity","#ED0000","2678"
"41",461,"forest","Deciduous Forest","#68AA63","2678"
"42",23,"forest","Evergreen Forest","#1C6330","2678"
"43",44,"forest","Mixed Forest","#B5C98E","2678"
"52",22,"shrubland","Scrub/Shrub","#CCBA7C","2678"
"71",47,"herbaceous","Grassland/Herbaceous","#E2E2C1","2678"
"81",302,"planted","Pasture/Hay","#DBD83D","2678"
"82",156,"planted","Cultivated Crops","#AA7028","2678"
"90",337,"wetlands","Woody Wetlands","#BAD8EA","2678"
"95",88,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2678"
"code","n","class","description","color","llid"
"21",1,"developed","Developed, Open Space","#DDC9C9","87531"
"22",14,"developed","Developed, Low Intensity","#D89382","87531"
"41",10,"forest","Deciduous Forest","#68AA63","87531"
"42",7,"forest","Evergreen Forest","#1C6330","87531"
"43",5,"forest","Mixed Forest","#B5C98E","87531"
"81",6,"planted","Pasture/Hay","#DBD83D","87531"
"82",148,"planted","Cultivated Crops","#AA7028","87531"
"90",75,"wetlands","Woody Wetlands","#BAD8EA","87531"
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","87531"
"code","n","class","description","color","llid"
"21",136,"developed","Developed, Open Space","#DDC9C9","1444"
"22",325,"developed","Developed, Low Intensity","#D89382","1444"
"23",71,"developed","Developed, Medium Intensity","#ED0000","1444"
"24",7,"developed","Developed, High Intensity","#AA0000","1444"
"41",65,"forest","Deciduous Forest","#68AA63","1444"
"42",12,"forest","Evergreen Forest","#1C6330","1444"
"43",1,"forest","Mixed Forest","#B5C98E","1444"
"52",5,"shrubland","Scrub/Shrub","#CCBA7C","1444"
"81",3,"planted","Pasture/Hay","#DBD83D","1444"
"82",30,"planted","Cultivated Crops","#AA7028","1444"
"90",234,"wetlands","Woody Wetlands","#BAD8EA","1444"
"95",39,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1444"
"code","n","class","description","color","llid"
"21",112,"developed","Developed, Open Space","#DDC9C9","43937"
"22",122,"developed","Developed, Low Intensity","#D89382","43937"
"23",8,"developed","Developed, Medium Intensity","#ED0000","43937"
"41",81,"forest","Deciduous Forest","#68AA63","43937"
"43",4,"forest","Mixed Forest","#B5C98E","43937"
"71",1,"herbaceous","Grassland/Herbaceous","#E2E2C1","43937"
"82",27,"planted","Cultivated Crops","#AA7028","43937"
"90",7,"wetlands","Woody Wetlands","#BAD8EA","43937"
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","43937"
"code","n","class","description","color","llid"
"21",19,"developed","Developed, Open Space","#DDC9C9","34380"
"22",5,"developed","Developed, Low Intensity","#D89382","34380"
"41",58,"forest","Deciduous Forest","#68AA63","34380"
"42",2,"forest","Evergreen Forest","#1C6330","34380"
"43",9,"forest","Mixed Forest","#B5C98E","34380"
"52",4,"shrubland","Scrub/Shrub","#CCBA7C","34380"
"81",18,"planted","Pasture/Hay","#DBD83D","34380"
"82",27,"planted","Cultivated Crops","#AA7028","34380"
"90",24,"wetlands","Woody Wetlands","#BAD8EA","34380"
"95",17,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","34380"
"code","n","class","description","color","llid"
"21",21,"developed","Developed, Open Space","#DDC9C9","3761"
"22",56,"developed","Developed, Low Intensity","#D89382","3761"
"23",2,"developed","Developed, Medium Intensity","#ED0000","3761"
"41",21,"forest","Deciduous Forest","#68AA63","3761"
"81",10,"planted","Pasture/Hay","#DBD83D","3761"
"82",63,"planted","Cultivated Crops","#AA7028","3761"
"90",34,"wetlands","Woody Wetlands","#BAD8EA","3761"
"95",15,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3761"
"code","n","class","description","color","llid"
"21",82,"developed","Developed, Open Space","#DDC9C9","138072"
"22",34,"developed","Developed, Low Intensity","#D89382","138072"
"23",1,"developed","Developed, Medium Intensity","#ED0000","138072"
"41",36,"forest","Deciduous Forest","#68AA63","138072"
"43",12,"forest","Mixed Forest","#B5C98E","138072"
"71",3,"herbaceous","Grassland/Herbaceous","#E2E2C1","138072"
"82",2,"planted","Cultivated Crops","#AA7028","138072"
"90",32,"wetlands","Woody Wetlands","#BAD8EA","138072"
"95",3,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","138072"
"code","n","class","description","color","llid"
"21",96,"developed","Developed, Open Space","#DDC9C9","3751"
"22",129,"developed","Developed, Low Intensity","#D89382","3751"
"23",11,"developed","Developed, Medium Intensity","#ED0000","3751"
"41",46,"forest","Deciduous Forest","#68AA63","3751"
"42",9,"forest","Evergreen Forest","#1C6330","3751"
"43",21,"forest","Mixed Forest","#B5C98E","3751"
"52",10,"shrubland","Scrub/Shrub","#CCBA7C","3751"
"82",30,"planted","Cultivated Crops","#AA7028","3751"
"90",99,"wetlands","Woody Wetlands","#BAD8EA","3751"
"code","n","class","description","color","llid"
"21",98,"developed","Developed, Open Space","#DDC9C9","1689"
"22",173,"developed","Developed, Low Intensity","#D89382","1689"
"23",36,"developed","Developed, Medium Intensity","#ED0000","1689"
"41",67,"forest","Deciduous Forest","#68AA63","1689"
"42",8,"forest","Evergreen Forest","#1C6330","1689"
"43",1,"forest","Mixed Forest","#B5C98E","1689"
"52",10,"shrubland","Scrub/Shrub","#CCBA7C","1689"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","1689"
"81",15,"planted","Pasture/Hay","#DBD83D","1689"
"82",22,"planted","Cultivated Crops","#AA7028","1689"
"90",147,"wetlands","Woody Wetlands","#BAD8EA","1689"
"95",43,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1689"
"code","n","class","description","color","llid"
"21",16,"developed","Developed, Open Space","#DDC9C9","21864"
"22",8,"developed","Developed, Low Intensity","#D89382","21864"
"41",114,"forest","Deciduous Forest","#68AA63","21864"
"42",7,"forest","Evergreen Forest","#1C6330","21864"
"43",18,"forest","Mixed Forest","#B5C98E","21864"
"81",28,"planted","Pasture/Hay","#DBD83D","21864"
"90",20,"wetlands","Woody Wetlands","#BAD8EA","21864"
"95",1,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","21864"
"code","n","class","description","color","llid"
"21",10,"developed","Developed, Open Space","#DDC9C9","73826"
"22",4,"developed","Developed, Low Intensity","#D89382","73826"
"31",2,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","73826"
"41",21,"forest","Deciduous Forest","#68AA63","73826"
"42",29,"forest","Evergreen Forest","#1C6330","73826"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","73826"
"81",59,"planted","Pasture/Hay","#DBD83D","73826"
"82",28,"planted","Cultivated Crops","#AA7028","73826"
"90",10,"wetlands","Woody Wetlands","#BAD8EA","73826"
"code","n","class","description","color","llid"
"21",113,"developed","Developed, Open Space","#DDC9C9","3281"
"22",103,"developed","Developed, Low Intensity","#D89382","3281"
"23",6,"developed","Developed, Medium Intensity","#ED0000","3281"
"31",7,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3281"
"41",53,"forest","Deciduous Forest","#68AA63","3281"
"42",21,"forest","Evergreen Forest","#1C6330","3281"
"43",17,"forest","Mixed Forest","#B5C98E","3281"
"71",23,"herbaceous","Grassland/Herbaceous","#E2E2C1","3281"
"81",17,"planted","Pasture/Hay","#DBD83D","3281"
"82",47,"planted","Cultivated Crops","#AA7028","3281"
"90",222,"wetlands","Woody Wetlands","#BAD8EA","3281"
"95",1,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3281"
"code","n","class","description","color","llid"
"21",33,"developed","Developed, Open Space","#DDC9C9","99816"
"22",21,"developed","Developed, Low Intensity","#D89382","99816"
"23",3,"developed","Developed, Medium Intensity","#ED0000","99816"
"31",4,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","99816"
"41",223,"forest","Deciduous Forest","#68AA63","99816"
"42",4,"forest","Evergreen Forest","#1C6330","99816"
"43",39,"forest","Mixed Forest","#B5C98E","99816"
