"code","n","class","description","color","llid","total_n","lake_buffer_area","stream_buffer_area","stream_length","total_area","percent_lake","percent_stream"
"21",1805,"developed","Developed, Open Space","#DDC9C9",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,22.7444556451613,6.27035830618892
"22",2085,"developed","Developed, Low Intensity","#D89382",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,26.2726814516129,3.08428338762215
"23",762,"developed","Developed, Medium Intensity","#ED0000",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,9.60181451612903,1.15024429967427
"24",125,"developed","Developed, High Intensity","#AA0000",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,1.57510080645161,0.404621335504886
"41",544,"forest","Deciduous Forest","#68AA63",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,6.85483870967742,3.17844055374593
"42",9,"forest","Evergreen Forest","#1C6330",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,0.113407258064516,NA
"71",119,"herbaceous","Grassland/Herbaceous","#E2E2C1",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,1.49949596774194,2.80181188925081
"81",6,"planted","Pasture/Hay","#DBD83D",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,0.0756048387096774,10.0951750814332
"82",629,"planted","Cultivated Crops","#AA7028",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,7.92590725806452,72.7809446254072
"90",9,"wetlands","Woody Wetlands","#BAD8EA",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,0.113407258064516,0.0407166123778502
"95",1843,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",3452,7936,7949595.62541293,41007694.5441968,192254.377833615,7936000,23.2232862903226,0.129784201954397
"21",13,"developed","Developed, Open Space","#DDC9C9",4417,285,273848.300630898,1004808.21795207,4718.88512444373,285000,4.56140350877193,1.27504553734062
"22",2,"developed","Developed, Low Intensity","#D89382",4417,285,273848.300630898,1004808.21795207,4718.88512444373,285000,0.701754385964912,0.910746812386157
"41",44,"forest","Deciduous Forest","#68AA63",4417,285,273848.300630898,1004808.21795207,4718.88512444373,285000,15.4385964912281,16.6666666666667
"81",63,"planted","Pasture/Hay","#DBD83D",4417,285,273848.300630898,1004808.21795207,4718.88512444373,285000,22.1052631578947,9.56284153005464
"82",84,"planted","Cultivated Crops","#AA7028",4417,285,273848.300630898,1004808.21795207,4718.88512444373,285000,29.4736842105263,62.2950819672131
